,Unnamed: 0,Country,Country_MSCI,Country_Investing,P/E,10-Year Yield
0,0,Canada,Canada,Canada,13.91,3.186
1,1,Germany,Germany,Germany,16.24,2.272
2,2,UK,UK,UK,11.77,4.179
3,3,France,France,France,16.03,2.848
4,4,Italy,Italy,Italy,7.58,4.175
5,5,Spain,Spain,Spain,9.71,3.338
6,6,Australia,Australia,Australia,14.01,3.63
7,7,New Zealand,New Zealand,New Zealand,26.22,4.333
8,8,Japan,Japan,Japan,16.69,0.431
9,9,Hong Kong,Hong Kong,Hong Kong,25.15,3.522
10,10,Singapore,Singapore,Singapore,16.61,2.855
11,11,Brazil,Brazil,Brazil,5.72,11.553
12,12,South Africa,South Africa,South Africa,9.86,11.3
13,13,Turkey,Turkey,Turkey,3.77,10.23
14,14,China,China,China,15.47,2.714
15,15,South Korea,South Korea,South Korea,13.13,3.532
16,16,Taiwan,Taiwan,Taiwan,14.76,1.16
17,17,India,India,India,25.6,6.989
18,18,Indonesia,Indonesia,Indonesia,13.21,6.392
