Category,Name,Ticker
US Large Caps,SPDR® S&P 500® ETF Trust,SPY
US Small Caps,iShares Russell 2000 ETF,IWM
World Developed,Vanguard FTSE Developed Markets ETF,VEA
Emerging Markets,iShares MSCI Emerging Markets ETF,EEM
US Fixed Income Aggregate,iShares Core U.S. Aggregate Bond ETF,AGG
US High Yield,iShares iBoxx $ High Yield Corporate Bond ETF,HYG
US TIPS,iShares TIPS Bond ETF,TIP
US T-Bill,SPDR® Bloomberg 1-3 Month T-Bill ETF,BIL
International Treasury Bond,SPDR® Bloomberg International Treasury Bond ETF,BWX
Emerging Market Sovereign Bond,iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB
Commodities,Invesco DB Commodity Index Tracking Fund,DBC
Real Estate,Vanguard Real Estate ETF,VNQ
