Rank,Country,Perc. Vegetarians
21,Argentina,5
6,Australia,12
12,Austria,9
17,Belgium,7
2,Brazil,14
12,Canada,9
20,Chile,6
21,China,5
36,Czech Republic,2
21,Denmark,5
30,Finland,4
21,France,5
7,Germany,10
36,Greece,2
1,India,31
21,Ireland,5
5,Israel,13
12,Italy,9
7,Jamaica,10
21,Japan,5
30,Latvia,4
15,Mexico,8
21,Netherlands,5
7,New Zealand,10
33,Norway,3
21,Philippines,5
15,Poland,8
40,Portugal,1
30,Russia,4
36,Slovenia,2
33,South Korea,3
36,Spain,2
7,Sweden,10
2,Switzerland,14
2,Taiwan,14
33,Thailand,3
21,Ukraine,5
17,United Kingdom,7
17,United States,7
7,Vietnam,10
